yy;mm;banda;SiteID;Tmax;Elevation;x;y
1974;1;14;aeronautica_6891;17.461290322580645;24.800743103027344;1023.9462536644774;4155.71266282768
1975;1;15;aeronautica_6891;17.629032258064516;24.800743103027344;1023.9462536644774;4155.71266282768
1976;1;16;aeronautica_6891;16.664516129032258;24.800743103027344;1023.9462536644774;4155.71266282768
1977;1;17;aeronautica_6891;17.24516129032258;24.800743103027344;1023.9462536644774;4155.71266282768
1978;1;18;aeronautica_6891;16.66774193548387;24.800743103027344;1023.9462536644774;4155.71266282768
1979;1;19;aeronautica_6891;16.480645161290322;24.800743103027344;1023.9462536644774;4155.71266282768
1980;1;20;aeronautica_6891;16.83225806451613;24.800743103027344;1023.9462536644774;4155.71266282768
1981;1;21;aeronautica_6891;15.76774193548387;24.800743103027344;1023.9462536644774;4155.71266282768
1982;1;22;aeronautica_6891;17.941935483870967;24.800743103027344;1023.9462536644774;4155.71266282768
1983;1;23;aeronautica_6891;16.9;24.800743103027344;1023.9462536644774;4155.71266282768
1984;1;24;aeronautica_6891;NA;24.800743103027344;1023.9462536644774;4155.71266282768
1985;1;25;aeronautica_6891;15.793548387096774;24.800743103027344;1023.9462536644774;4155.71266282768
1986;1;26;aeronautica_6891;16.60322580645161;24.800743103027344;1023.9462536644774;4155.71266282768
1987;1;27;aeronautica_6891;16.716129032258063;24.800743103027344;1023.9462536644774;4155.71266282768
1988;1;28;aeronautica_6891;18.838709677419356;24.800743103027344;1023.9462536644774;4155.71266282768
1989;1;29;aeronautica_6891;16.68709677419355;24.800743103027344;1023.9462536644774;4155.71266282768
1990;1;30;aeronautica_6891;16.733333333333334;24.800743103027344;1023.9462536644774;4155.71266282768
1991;1;31;aeronautica_6891;16.809677419354838;24.800743103027344;1023.9462536644774;4155.71266282768
1992;1;32;aeronautica_6891;16.60322580645161;24.800743103027344;1023.9462536644774;4155.71266282768
1993;1;33;aeronautica_6891;17.441935483870967;24.800743103027344;1023.9462536644774;4155.71266282768
1994;1;34;aeronautica_6891;17.441935483870967;24.800743103027344;1023.9462536644774;4155.71266282768
1995;1;35;aeronautica_6891;16.738709677419354;24.800743103027344;1023.9462536644774;4155.71266282768
1996;1;36;aeronautica_6891;17.593548387096774;24.800743103027344;1023.9462536644774;4155.71266282768
1997;1;37;aeronautica_6891;17.480645161290322;24.800743103027344;1023.9462536644774;4155.71266282768
1998;1;38;aeronautica_6891;17.070967741935483;24.800743103027344;1023.9462536644774;4155.71266282768
1999;1;39;aeronautica_6891;16.921739130434784;24.800743103027344;1023.9462536644774;4155.71266282768
